project_num,project_title,abstract_text,phr_text,fiscal_year,award_amount,direct_cost_amt,indirect_cost_amt,funding_mechanism,activity_code,agency_ic_admin.name,organization.org_name,organization.org_state,organization.org_city,organization_type.name,organization.org_zipcode,spending_categories_desc,investigators
5P30DK056336-18,UAB NORC Core A - Administrative Core,"UABâ€™s Nutrition Obesity Research Center (NORC) has as its long-range mission to reduce the rates of obesity
and improve human health and well-being by advancing knowledge and developing innovative solutions for
nutrition and obesity through collaborative and interdisciplinary research. We do this by supporting and growing
an investigator base of active, funded nutrition and obesity researchers at our institution and facilitating their
ability to conduct the most rigorous and insightful research possible. The Administrative Core serves to
convene this base of research investigators, to help to grow it by recruiting new investigators into the field of
nutrition and obesity from both within and beyond UAB, and to train the next generation of nutrition and obesity
research scientists. We also support the scientific community interested in nutrition and obesity research
beyond the walls of our institution through our Enrichment Program, including a formal program of national
short courses and other offerings supported by additional funds raised beyond those of our NIDDK NORC P30.
The Administrative Core takes responsibility for the careful management of all elements of the NORC,
including oversight of the cores; interactions with and growth of the membership; announcement, selection,
and administration of the Pilot and Feasibility grants; implementation of our training and education programs;
fostering growth with our clinical element; strengthening communications with NIH and UABâ€™s administration;
facilitating interactions with other NORCs; continually updating the NORCâ€™s website; philanthropic fundraising
to support the NORCâ€™s activities, which resulted in the establishment of two endowed professorships in
energetics and healthy lifestyles (the Lavoisier Professorship and the Quetelet Professorship) and one
endowed research fund this past cycle; fiscal management; convening, soliciting, and adapting to feedback
from the NORC internal and external advisory committees; and finally, ensuring the timely execution of all
administrative and regulatory obligations.
The Administrative Core works diligently and proactively to not only meet the objectives above but create and
foster the conditions that allow our investigators to pursue their scientific ideas with maximal efficiency, ease,
and rigor, while also inspiring our current and future investigators to conduct ever more creative and impactful
research on nutrition and obesity.",,2019,239177,161062,78115,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,Domestic Higher Education,352940001,Nutrition; Obesity,DAVID B ALLISON
5P30AG050886-05,Core E:  Comparative Data Analytics Core,"The Comparative Data Analytics Core (CDAC) will provide not only high-level customized statistical support
for basic science investigators studying aging and energetics in diverse model organisms at UAB, but also a
venue for development of de novo methods specially for such research, a nidus for training others at and
beyond UAB in such research, and a platform for the dissemination of such methods to the aging research
community at large. The core leadership comprises statistical scientists with a 20-year history of studying the
interface of aging, energetics and body composition. They bring not only their statistical expertise, but their
experience with and zeal for the science of comparative studies at the interface of aging and energetics.
 The need for specialized statistical expertise, training, and support in aging research is clear. Statistical
analyses of aging research data provide many challenges. Aging research involves longitudinal analyses and
modeling the dependency of multiple observations taken over time, and accommodating the missing data
which commonly occurs with longitudinal studies. With time-to-event (e.g., survival) outcomes, left, right, and
interval censoring add further complexities. Statistical approaches in comparative biology face challenges such
as phylogenetic dependence among model residuals, complicating inference.
 Non-statistician researchers benefit from the support and involvement of statistical scientists who are deeply
involved in the subject matter, who can tailor methods to the situation at hand, who work with the biologists
from the beginning as an engaged part of the research team, who can discuss the methods with the biologists
and explain the statistical procedures and who can develop new statistical methods for specific needs.
To that end, the UAB CDAC offers the following specific aims:
1. To provide statistical support for UAB investigators studying the comparative energetics of aging, including
 traditional, specialized, and bespoke methods.
2. To provide statistical support for non-UAB investigators studying the comparative energetics of aging,
 including traditional, specialized, and bespoke methods.
3. To conduct high-level statistical investigations of secondary data to answer questions about the
 comparative energetics of aging.
4. To develop and evaluate statistical methods needed in the field of the comparative energetics of aging.
5. To provide an organized series of educational offerings on statistical methods for the comparative
 energetics of aging which permit dissemination of expertise and knowledge to the broader scientific
community.
An investment in this core will achieve dividends by catalyzing more informative and rigorous research on
aging within the UAB NSC and for the community of aging researchers at large.",,2019,86678,58965,27713,Research Centers,P30,National Institute on Aging,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,Domestic Higher Education,352940001,Aging,DAVID B ALLISON
1R01MD013818-01,Barriers to arteriovenous fistula use in black hemodialysis patients,"Abstract
To successfully and efficiently dialyze, patients with end-stage renal disease (ESRD) patients must have a
reliable conduit to access the vasculature (vascular access), either an arteriovenous fistula (AVF) or
arteriovenous graft (AVG). Despite national consensus vascular access guidelines that strongly recommend
preferential placement of AVFs, 80% of ESRD patients initiate HD with a central vein catheter (CVC). Such
patientsâ€” the focus of our grantâ€”require timely vascular access planning and surgery once they have initiated
HD to ensure a permanent AVF access is placed. Disparities in AVF use between blacks and whites begin at
HD initiation and increase progressively following AVF creation, such that at 1 year it is 58.8 vs 67.8%,
respectively, which translates to 5,000 excess deaths among blacks annually. The proposed grant will
investigate patient, provider, and system factors contributing to racial disparities in AVF use. Three major
surgical processes of care determine AVF use in hemodialysis patients. First, an AVF needs to be created in
the patient who initiates HD with a CVC. Second, the new AVF has to mature adequately to be used for HD.
Third, once the AVF has matured, it needs to maintain long-term patency for dialysis, often requiring access
interventions such as angioplasty, thrombectomy, or surgical revision. Aim 1 will use qualitative research to
elucidate views on AVFs and barriers to AVF processes of care among black and white patients at various
stages of dialysis care. We will use semi-structured interviews of black and white dialysis patients and their
providers (surgeons, nephrologists, and dialysis nurses) to identify common themes regarding the decision-
making around initial AVF creation and subsequent interventions. Aim 2 will use quantitative research to
determine whether there are racial disparities in the key processes of care required to achieve and maintain
AVF use for dialysis among patients initiating HD with a CVC. We will retrospectively query the national
USRDS database of incident HD patients to determine whether one or more of the 3 key AVF surgical
processes of care differ between blacks and whites. In parallel, we will prospectively collect more granular data
on these processes of care in patients initiating HD at a large dialysis center. Aim 3 will determine the
relationship between system level factors and AVF processes of care. Aim 4 will administer validated surveys
to incident black and white hemodialysis patients scheduled for AVF surgery over a 4-year period at UAB, and
quantify potential patient barriers to and facilitators of AVF use. We will then determine which specific patient,
provider, and system factors are associated with differences in AVF processes of care (identified in Aim 2) by
prospectively collecting vascular outcomes data for this UAB population. Finally, we will use mediational
analysis to identify the most important modifiable patient, provider, and system factors related to AVF use
among black dialysis patients. These factors will be used to develop a future multi-level interventional trial to
evaluate whether addressing specific barriers can reduce racial disparities in AVF use.","PROJECT NARRATIVE
A fistula created by surgically connecting an artery to a vein is the preferred form of conduit to provide blood
flow to the dialysis machine for chronic hemodialysis. Despite national guidelines, black dialysis patients are
less likely than white ones to use a fistula. This proposal will examine patient, provider, and system factors
that may explain racial disparities in fistula use, and use the insights gained to plan a future interventional trial
to enhance fistula use in black hemodialysis patients.",2019,462828,377965,84863,Non-SBIR/STTR,R01,National Institute on Minority Health and Health Disparities,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Assistive Technology; Bioengineering; Clinical Research; Kidney Disease,MICHAEL  ALLON
5P01HL066299-17,Cell Culture and Small Animal Core,"CORE SUMMARY
Core B is the Cell Culture and Small Animal Scientific Core whose goals are to provide Program Investigators
with complete cell culture and cell isolation services (Cell Culture component) and a variety of small animal and
microbiological services (Small Animal component) that facilitate the completion of their Specific Aims. To
accomplish these goals, Core B will be centering its activities into three principal areas:
Service component: Core B will facilitate the performance of each project by centralizing cell processing
including isolation, characterization, and distribution of pulmonary endothelial cells (PAECs), microvascular
endothelial cells (PMVECs), and pulmonary vein endothelial cells (PVECs) from wild type and genetically
modified rats and mice, and by providing consultation and training in cell isolation and culture. Core B will
facilitate the performance of each project by centralizing animal care including maintenance of mouse and rat
colonies (breeding and colony expansion) of animals harboring genetic mutations, by maintaining bacterial
stocks of Pseudomonas aeruginosa, and by generating P. aeruginosa-induced lung injury in rats and mice.
Academic component: Throughout previous funding cycles, Core B has adapted to the ever-changing needs
of the Projects by generating new reagents (e.g. providing pulmonary endothelial cells from genetically
modified rats and mice) or platforms (e.g. providing an experimental rodent model of Pseudomonas
aeruginosa-induced pneumonia and sepsis). During the current cycle, the Core has developed a novel
experimental platform -Monolayer Stress Microscopy- to assess endothelial cell mechanics via visualization of
forces occurring among cells and their subjacent substrate. In addition, the Core has generated mouse and rat
decellularized lung bio-scaffolds that will serve as a platform for examining endothelial cell heterogeneity.
Synergy with Projects and Scientific Cores: In collaboration with Core D (BioImaging and BioTechnology
Implementation Core), pulmonary endothelial cells and isolated lung tissues will be provided for 3D, 4D, and
5D imaging analyses. Scientifically, the analysis of monolayer mechanical forces and the generation of lung
scaffolds will become fundamental for data- and hypothesis- generation by providing innovative platforms to all
Projects and Cores. In this capacity, scaffolds repopulated with genetically modified cells (provided from Core
C) will be imaged using the novel approaches developed by Core D and the newly-acquired information will be
disseminated in coordination with Core A (administrative Core).","PROJECT NARRATIVE
Understanding the existing heterogeneity in the pulmonary circulation allowed the identification of disease
mechanisms and the development of new therapeutic approaches to combat those illnesses. The Cell Culture
component of the Core centralizes isolation of the required endothelial cells, and provides the reagents
necessary for completion of the proposed experiments in all projects. The Small Animal component of the
Core centralizes the development of a lung injury model and provides training for the assessment of outcomes
measures necessary for completion of the proposed experiments in all projects.",2019,266708,173187,93521,Non-SBIR/STTR,P01,National Heart Lung and Blood Institute,UNIVERSITY OF SOUTH ALABAMA,AL,MOBILE,Domestic Higher Education,366880002,Bioengineering; Biotechnology; Infectious Diseases; Lung; Pneumonia; Pneumonia & Influenza,Diego F. Alvarez
5U01HL133536-04,Pre-Vent Apnea,"Project Summary
 This â€œPre-Vent Apneaâ€ application brings together established investigators at the University of
Alabama at Birmingham (UAB; Clinical Site) with expertise in neonatal clinical and translational research
and at the University of Massachusetts Medical School (UMASS; Analytical Core) with complementary
expertise in control of breathing and signal processing in physiological systems. The overall objective of the
local project is to use a prospective cohort of 200 preterm infants <29 weeks gestation at UAB to
prospectively define and validate ventilatory mechanisms associated with resilience against or risk for
development of impaired oxygenation at 36 weeks' postmenstrual age (physiologic definition of BPD) and at
follow-up (corrected age of 3 months) using multiparametric physiologic monitoring and intensive data
collection (96 hours each) at three distinct time frames: 2 weeks postnatal age, 32 weeks post-menstrual
age (PMA), 36 weeks PMA, in addition to continuous heart rate, respiratory rate, and pulse oximetry
waveform recording from enrollment soon after birth until discharge.
 We will address the objective by the following Specific Aims:
Specific Aim 1- Development and validation of mathematical models of personalized ventilatory patterns
based on multiparametric vital signs monitoring and signal analysis methods to (a) predict hypoxemic and/or
bradycardic episodes in individual infants before they occur, (b) identify patterns of ventilatory abnormalities
associated with BPD with and without pulmonary hypertension, as well as with and without respiratory or
feeding support at 3 months corrected age.
Specific Aim 2 - Determine if late (at or beyond postnatal day 14) mild permissive hypercapnia is associated
with reduction in apnea, bradycardia, and hypoxemic episodes and with improved stability of oxygenation.
Specific Aim 3 â€“ Determine if servo-controlled oxygen environment is associated with reduction in
hypoxemic episodes and improved stability of oxygenation, as compared to oxygen administered by nasal
cannula.
 In addition, for the multicenter collaborative project, we will collaborate with other clinical research
centers and a Leadership and Data Coordinating Center (LDCC) on a multicenter protocol that will
investigate ventilatory control mechanisms in outcomes of instability of oxygenation and acute and chronic
morbidity.
 The ultimate goal of our participation in this project is to gain greater insight into the pathogenesis of
respiratory disorders in extremely preterm infants and discover targets for new prevention and treatment
strategies to improve outcomes for very vulnerable children at the beginning of life.","Project Narrative:
Preterm infants often have abnormal control of breathing, resulting in prolonged pauses
in breathing, drops in heart rate, or decreases in blood oxygen levels. In this study, we
will use intensive data collection from multiple monitoring methods to develop
mathematical models and understand how control of breathing is abnormal in preterm
infants, and how it is associated with poor outcomes at follow-up.",2019,563824,417908,145916,Non-SBIR/STTR,U01,National Heart Lung and Blood Institute,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,"Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Infant Mortality; Lung; Neonatal Respiratory Distress; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Preterm, Low Birth Weight and Health of the Newborn; Prevention; Rare Diseases",Namasivayam  Ambalavanan; Premananda Pai Indic
5R00DE023826-05,Hedgehog Pathway Activity and Targeting in KCOT,"ï»¿   
DESCRIPTION (provided by applicant): Keratocystic odontogenic tumors (KCOT) patients are treated surgically with more conservative surgical approaches leading to higher rates of recurrence. Research to reduce recurrence of KCOT is very limited and only focused on surgical technique, primarily owing to the severe lack of cellular models for preclinical studies fr the identification and testing of therapeutic options. The aims of this project are designed to utilize novel cell models of KCOT to explore hedgehog (HH) pathway signaling, the role of HH receptor polymorphisms in KCOT, and the potential to use HH as a therapeutic target for KCOT and other craniofacial tumors. KCOT can be non-syndromic or syndromic in association with Nevoid basal cell carcinoma syndrome, an autosomal dominant genetic disease characterized by a mutation in the inhibitory receptors of the HH pathway, Patched 1/2 (PTCH1/2). When the receptor in mutated, it is believed to be unable to inhibit Smo and cause ligand-independent HH signaling, cell proliferation, and tumorigenecity. The K99 phase proposes to (1) to determine if the PTCH1 receptor polymorphism Pro1315Leu, identified in 75% of our KCOTs, has a functional significance in HH pathway activity by accessing cell proliferation, HH transcriptional activity, and tumorigenic and invasive properties in cells expressing PTCH with and without the polymorphisms; and (2) examine the biological effects and therapeutic efficacy of HH inhibition on primary KCOT cell populations, using clinically relevant HH inhibitors (GDC-0449 and LDE225, both currently in clinical trials) as well as selectively targeting the Smo protein using siRNA knockdown. During this time the candidate will complete mentored training in molecular biology and courses in clinical translation research and professional development in preparation for the independent R00 phase where it is proposed to develop animal model of KCOT for testing in vivo efficacy of HH inhibitors, starting with xenograft models of KCOTs. Information gleaned from this work may be useful in understanding the role of PTCH1 in fundamental HH signaling in human neoplasias and used in the generation of future clinical trials focusing on preventing KCOT recurrence.","PUBLIC HEALTH RELEVANCE: Keratocystic odontogenic tumors (KCOTs) are locally aggressive tumors that invade the jaw bone requiring surgery and no therapies are available to prevent recurrence. An association exists between KCOTs and alterations in the hedgehog (HH) signaling pathway and the aims of this project will be to explore HH function in novel KCOT cell models and examine clinically relevant drugs, which target HH signaling, in KCOTs. Information gleaned from this work may be used in the generation of future clinical trials focusing on therapeutic interventions for preventing KCOT recurrence.",2019,249000,167677,81323,Non-SBIR/STTR,R00,National Institute of Dental and Craniofacial Research,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF DENTISTRY/ORAL HYGN,352940001,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Dental/Oral and Craniofacial Disease; Genetics; Pediatric; Pediatric Cancer; Rare Diseases,Hope  Amm
3R01DA038635-05S1,Opioid Ligands for the treatment of Alzheimer's Disease (Administrative Supplement on Parent Grant R01DA038635),"Alzheimerâ€™s Disease (AD) is the most common form of dementia, which affects 47 million people
worldwide. There are over five million AD patients over the age of 65 in the U.S., which is predicted to increase
to 16 million by 2050, with a concomitant increase in socioeconomic burden. There are currently no approved
disease-modifying therapies for AD and the few symptomatic treatment agents available have limited impact.
Attempts to prevent or eliminate beta-amyloid plaques have been made by targeting the beta-site amyloid
precursor protein (APP) cleaving enzyme 1 (BACE1) and the gamma-secretase enzyme. However, these
strategies have not yet achieved clinical success. Recent research suggests that indirect modulation of the
function of these enzymes via G-protein coupled receptors (GPCRs) may provide a novel strategy to reduce A-
beta peptide production with potentially less side effects. Among GPCRs that influence amyloidogenesis, the
delta opioid receptor (DOR) in particular has been shown to play an important role in the trafficking and function
of BACE1 and gamma-secretase and in the production of A-beta peptide. Activation of DOR increases BACE1
and gamma-secretase activity in vitro and in a mouse model of AD, and antagonism of DOR specifically blocks
the amyloidogenic pathway and efficaciously prevents AD progression in mice. These effects were demonstrated
using a known DOR antagonist, naltrindole. However, the potential of DOR antagonists as therapeutic agents
for AD is yet to be explored.
 The parent grant for the proposed supplement targets mixed function ligands possessing agonist activity
at the mu opioid receptor (MOR) and antagonist activity at DOR. The target libraries of compounds generated
through the parent grant were prepared using a series of DOR antagonists as intermediates. This provides us
with a unique opportunity to characterize their DOR antagonist profile and explore the activity of selected
compounds for their ability to modulate the function of the APP processing enzymes and inhibit A-beta pathology.
To this end, in this supplemental effort, we will pursue the following specific aims: analyze and select a set of
preferred ligands from our library of opioid ligands; resynthesize samples of the selected ligands; evaluate the
selected ligands in vitro for their ability to inhibit enzymatic activity and subcellular localization; further select a
small set of the most promising compounds and evaluate their ability to mitigate AD-like pathology using APP/PS
double-transgenic mice. These evaluations will include behavioral tests (spatial memory by Morris Water Maze;
Novel Object Recognition) as well as assessment of A-beta level, beta-amyloid deposits, and inflammation
(activated astrocytes and microglia) in the brain.
 The results from this supplemental effort will provide insight into the novel approach of indirect modulation
via opioid receptors to achieve reduction in A-beta pathology and identify lead compounds for further
development as candidate AD therapeutics.","Alzheimerâ€™s Disease (AD) is projected to significantly increase in prevalence in the coming decades, but
no disease-modifying therapies for AD exist. Antagonism of the delta opioid receptor (DOR) has been shown to
block AD pathology by reducing the activity of amyloid processing enzymes. In this supplemental application, a
cohort of DOR antagonists and DOR-antagonist/mu opioid receptor (MOR)-agonist ligands will be tested from
the parent grant library for their ability to reduce amyloid processing enzyme activity and rescue AD pathology
in an AD transgenic mouse model to explore the potential of this novel approach for the treatment of AD.",2019,527409,316416,210993,Non-SBIR/STTR,R01,National Institute on Drug Abuse,SOUTHERN RESEARCH INSTITUTE,AL,BIRMINGHAM,Research Institutes,352052708,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Neurodegenerative; Neurosciences; Opioids,SUBRAMANIAM  ANANTHAN
5R01NS086953-06,Poly (ADP-ribose) Mediates Cell Death in Stroke by Inhibiting Glucose Metabolism,"ï»¿   
DESCRIPTION (provided by applicant): This study will identify the role of a Poly (ADP-ribose) polymer (PAR)-dependent pathological process in stroke that we believe is a central pathway to induce bioenergetic defects, oxidative stress and mitochondrial permeability transition in stroke. Stroke remains a major cause of mortality and morbidity in United States and worldwide and lacks effective therapeutic innervations. There is a critical need to identify the molecular pathways of cell death in stroke so that novel therapeutic targets can be identified.  Excessive activation of poly (ADP-ribose) polymerase-1 (PARP-1) activation is strongly implicated to induce cell death in stroke. Studies have shown that PAR is a death signaling molecule in PARP-1 activation and that binding of PAR to hexokinase (HK-1) may cause bioenergetic collapse. However, the role of this PAR/HK-1 interaction in stroke is not known. HK-1 is an essential enzyme in the brain to regulate cellular bioenergetics via glycolysis and mitochondrial function, and maintains redox homeostasis via pentose phosphate pathway. In addition, protection of mitochondria against permeability transition is an important function of HK-1 in the brain. Preliminary data in this application supports the view that in cortical neurons exposed to OGD (an in vitro ischemia / stroke model), PAR binds HK-1 and alters its functions. Collapse of the HK-1 dependent cell survival functions namely bioenergetic balance, redox homeostasis and mitochondrial membrane protection are well known to induce cell death in stroke. Therefore, it is conceivable that binding of PAR to HK-1 is a central pathological pathway to induce cell death in stroke and therefore, may be a credible target for therapeutic intervention in
stroke. To directly and rigorously identify the role of this novel pathway in stroke, we will use viral-mediated knockdown of endogenous HK-1 and replacement with PAR-binding mutant form of HK-1 (pbmHK-1) in combination with OGD in neuronal cultures and an MCAO model of stroke in adult mice. We propose the following 4 aims: Aim #1: Does PAR-dependent inhibition of HK-1 mediate bioenergetic defects in OGD-treated neurons? Aim #2: Are oxidative stress and redox imbalance in OGD-subjected neurons the consequence of PAR/HK-1 interaction? Aim # 3: Does PAR-binding to HK-1 lead to mitochondrial permeability transition after OGD in neurons? Aim # 4: What is the role of PAR-binding to HK-1 on cell death in stroke in vivo?  Each of the proposed aims are supported by a set of important preliminary data, which strongly support the hypothesis that PAR to HK-1 is a central pathological process to induce cell death in stroke. Combining viral-mediated expression of pbmHK-1 with Seahorse Flux analysis, metabolic tracer studies, live-cell imaging and biochemical analysis in experimental models of stroke represent a novel approach to understand PAR- dependent cell death signaling in stroke in greater depth. These studies are crucial to further reveal the role of this novel HK-1/PAR pathway in stroke and to determine whether this important pathological pathway is a credible target for therapeutic intervention in stroke.","PUBLIC HEALTH RELEVANCE: In stroke Poly (ADP-ribose) polymer (PAR), formed by poly (ADP-ribose) polymerase-1 inhibits hexokinase-1 (HK-1), which is an essential enzyme to maintains cellular bioenergetics, oxidative balance and mitochondrial integrity in the brain. Here we propose that inhibition of HK-1 by PAR is an upstream pathological event that leads to bioenergetic collapse, redox failure, and mitochondrial permeability transition in stroke. This study will reveal novel strategies for pharmacological intervention in stroke.",2019,321563,218750,102813,Non-SBIR/STTR,R01,National Institute of Neurological Disorders and Stroke,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Brain Disorders; Cerebrovascular; Neurosciences; Stroke,Shaida A. Andrabi
5R01ES029981-02,Environmental Cadmium and COPD,"The lung is a major portal for respirable environmental toxicants including heavy metals such as cadmium
(Cd), which is recognized to cause chronic obstructive pulmonary disease (COPD). COPD is the third
largest cause of mortality in the US. Airway remodeling with loss of the lumen of small airways and airflow
obstruction precede airspace enlargement and emphysema. Airway remodeling is associated with a profusion
of airway fibroblasts and an increase in extracellular matrix proteins. Vimentin is an intracellular type 3 filament
that can trigger peribronchial fibrosis. The prevalence of COPD is twice as high in a zip code where a
Superfund site is located in Birmingham, Alabama when compared to a control zip code with similar
demographics and smoking prevalence. We postulate that chronic low dose cadmium (Cd) exposure induces
alterations in vimentin-mitochondrial dynamics that results in mitochondrial dysfunction and aberrant activation
of peribronchiolar fibroblasts leading to bronchiolar luminal narrowing and subsequent COPD. We will examine
this hypothesis in the following specific aims: (1) Determine whether exposure to Cd in a cohort of smokers
and never-smokers from a Birmingham community predicts susceptibility to airway remodeling and COPD. (2)
Determine the mechanisms by which Cd mediates alterations in vimentin-mitochondrial dynamics to regulate
fibroblast activation. (3) Determine whether low dose Cd, or pSer39Vim induced airway remodeling and
airspace enlargement in a mouse model of COPD is associated with fibroblast invasion, ECM deposition and
apoptosis resistance. These studies will directly address a significant gap in our understanding of how
cadmium contributes to the pathogenesis of COPD and the role of vimentin filaments in mitochondrial
homeostasis. Early biomarkers of COPD in exhaled breath condensate may help us recognize disease
susceptibility. Importantly, these studies may provide novel therapeutic strategies in patients with COPD.","NARRATIVE:
Environmental exposure to cadmium can cause airway remodeling and COPD, though
the mechanisms remain unclear. We have demonstrated that Cd induces fragmentation
and activation of vimentin, a cytoskeletal protein in fibroblasts from patients with COPD
leading to fibrosis around the airway and COPD. Understanding the mechanisms
underlying cadmium induced COPD will allow us to develop targeted therapy for this
disease, that is the third largest and growing cause of mortality in the US.",2019,508131,347728,160403,Non-SBIR/STTR,R01,National Institute of Environmental Health Sciences,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Chronic Obstructive Pulmonary Disease; Clinical Research; Lung; Prevention,Veena B. Antony
5P01HL114470-07,Clinical Core,"ABSTRACT
 The overall objective of the Clinical Core (Core B) is to provide the personnel, state of the art facilities and
organizational structure necessary to recruit human subjects, generate a research database, procure and store
human biological specimens for the four proposed projects in Cycle 2 of the UAB tPPG.
 The previous Cycle of the tPPG has informed and expanded the function of proposed Clinical Core. In the
three years (at the time of this writing) over a hundred subjects have been recruited into the studies, new data
and investigators recruited into related research and the hypotheses for the present projects validated with
preliminary data. The specific aims of Cycle 2 Clinical Core are the following: Specific Aim 1: Manage the
identification, recruitment, informed consent process, and enrollment of patients Projects 1-4 Specific activities
will include: (a) Obtain approval from the UAB Institutional Review Board for Human Use (IRB) (b) Identify
eligible subjects in collaboration with the Project Investigators (c) Obtain informed consent in collaboration with
Project Investigators. Specific Aim 2: Manage clinical data collection, and biological specimen collection and
distribution. Specific activities will include: (a) Enter subject's demographic and clinical data into a research
database (b) Coordinate with Core A to provide demographic and clinical data to individual projects for
statistical analysis (c) Coordinate procurement, and distribution of biological specimens to projects 1, 2, 3, and
4 (d) Continue implementation of a quality control process for specimen handling, transfer, storage and data
management. All projects will utilize the Clinical Core. The Clinical Core will function as the central hub of
sample and data procurement to accelerate discoveries by projects1-4.","NARRATIVE:
The Clinical Core will serve as the central hub for patient recruitment sample and data procurement to assist
and synergize experimental plans as proposed in Projects 1-4. All Projects will utilize the services provided by
the Clinical Core. In Cycle 1 of the tPPG we have collected specimens from over a hundred subjects, refined
standard operating procedures and over forty publications have emanated from the tPPG by year three as of
this writing. The Clinical Core is made of a team of clinicians (pathologists, radiologists, pulmonologists) and
scientists, who meet regularly to adjudicate diagnoses, perform quality assurance and review data to provide
state of the art Clinical Core service to the Projects.",2019,309771,208600,101171,Non-SBIR/STTR,P01,National Heart Lung and Blood Institute,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,Domestic Higher Education,352940001,Clinical Research; Lung,Veena B. Antony
1K23HL146887-01,"Race, Natriuretic Peptides and Physiological Perturbations","PROJECT SUMMARY/ABSTRACT
The applicant, Pankaj Arora, MD is an Assistant Professor of Medicine in the Division of Cardiovascular
Disease at University of Alabama at Birmingham. The applicantâ€™s goal is to become an independent
investigator in clinical and translational research and advance the understanding of how disorders in the
natriuretic peptide (NP) system contribute to the development of hypertension, heart failure and cardiovascular
disease. The applicant has shown a prior interest in understanding the genetics, NP system biology and an
ability to conduct high-quality patient-oriented research. This Mentored Patient-Oriented Research Career
Development Award (K23) describes a five-year plan that will allow the applicant to achieve independence as
an investigator, under the primary mentorship of Thomas J. Wang MD, an internationally-recognized leader in
the field of NP physiology. The applicant wishes to obtain knowledge and expertise in 4 specific domains: (1)
patient-oriented physiologic studies, (2) the pathophysiologic basis of race-related differences in cardiovascular
disease susceptibility, (3) exercise physiology, and (4) patient-oriented pharmacologic studies.
African-Americans have increased prevalence of cardiovascular disease which contributes to racial disparities
in outcomes such as death and hospitalization. NPs are natriuretic and vasodilatory hormones produced by
the heart in response to increased wall stress in the atria and ventricles. In preliminary work for this proposal,
we found that African-American race is associated with NP deficiency. Little is known about the physiological
consequences of the lower resting NP levels found in African-Americans. The current proposal will seek to
determine if there exists racial differences in how the heart responds to physiological perturbations such as
exercise and beta blockers. The specific aims are (1) To compare the NP response to beta blockers in African-
American and white individuals (2) To compare the NP response to exercise in African-American and white
individuals. Understanding these differences in release of NPs may have biological and therapeutic
importance in the treatment of hypertension and heart failure.
The Mentored Patient-Oriented Research Career Development award (K23) will provide Dr. Arora with the
necessary time to fully engage in multifaceted, carefully designed patient-oriented research protocols while
serving as a means to receive additional formal didactics. During the course of the award period, the applicant
will pursue a Master of Science in Public Health in Clinical & Translational Science at UABâ€™s School of Public
Health to advance his skills in patient-oriented research (epidemiology, biostatistics, study design, grant-
writing, and leadership courses). UABâ€™s rich collaborative, interdisciplinary environment with national
recognition for community engagement will provide Dr. Arora with a platform to successfully conduct the
research proposed in the plan. The proposed studies will prepare the investigator to design and conduct
interventional studies (e.g. R01) in specific racial subgroups to personalize existing and novel therapeutics
around the NP system.","PROJECT NARRATIVE
African-Americans have a higher prevalence of hypertension and heart failure but lower resting natriuretic
peptide levels than white individuals. We propose to study the racial differences in the natriuretic peptide
response to physiological perturbations such as exercise and beta-blockers which may help us personalize
treatment approaches and reduce racial disparities in cardiovascular disease.",2019,193752,179400,14352,Other Research-Related,K23,National Heart Lung and Blood Institute,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Heart Disease; Hypertension; Physical Activity; Prevention,Pankaj  Arora
